1444216198 0 1 0
1444220826 0 1 1
1444226945 0 1 2
1444227556 0 1 3
1444240099 0 1 4
1444240220 0 2 4
1444318433 0 2 5
1444318927 0 2 6
1444321879 0 2 7
1444323552 0 2 8
1444376992 0 2 9
1444552424 0 2 10
1446456539 1 2 10
1446459280 2 2 10
1446459474 3 2 10
1446459561 4 2 10
1446459582 5 2 10
1446460043 5 3 10
1446460215 5 4 10
1446460480 6 4 10
1446460626 7 4 10
1446460929 7 5 10
1446461147 7 6 10
1446461331 7 7 10
1446461354 7 8 10
1446461566 8 8 10
1446461615 8 9 10
1446461788 8 10 10
1446462388 9 10 10
1446462636 10 10 10
1446462940 10 11 10
1446480821 11 11 10
1446483521 12 11 10
1446547648 13 11 10
1446559148 14 11 10
1446628896 15 11 10
1446630100 16 11 10
1446638899 17 11 10
1446642022 18 11 10
1446646636 19 11 10
1446649337 20 11 10
1446662110 21 11 10
1446662181 21 12 10
1446674528 22 12 10
1446708662 23 12 10
1446726008 24 12 10
1446803596 25 12 10
1446819111 26 12 10
1446819137 27 12 10
1446822366 28 12 10
1446839148 29 12 10
1446883063 30 12 10
1447019881 31 12 10
1447416975 32 12 10
1447420465 33 12 10
1447421565 34 12 10
1447424299 35 12 10
1447427350 36 12 10
1447749561 37 12 10
1447778598 38 12 10
1447782789 39 12 10
1448016437 40 12 10
1448018104 41 12 10
1448020876 42 12 10
1448022243 43 12 10
1448044426 44 12 10
1448274835 45 12 10
1448384524 46 12 10
1448385905 47 12 10
1448387680 48 12 10
1448388214 49 12 10
1448388902 50 12 10
1448389247 51 12 10
1448390177 52 12 10
1448456382 53 12 10
1448457077 54 12 10
1448476922 55 12 10
1448478576 56 12 10
1448491542 57 12 10
1448617403 58 12 10
1448629877 59 12 10
1448632586 60 12 10
1448804226 61 12 10
1448807133 62 12 10
1448810222 63 12 10
1448811758 64 12 10
1448831892 65 12 10
1448832120 65 13 10
1448887620 66 13 10
1448892165 67 13 10
1448919287 68 13 10
1448968052 69 13 10
1448986236 70 13 10
1449049618 71 13 10
1449064192 72 13 10
1449080815 73 13 10
1449081987 74 13 10
1449130155 75 13 10
1449135127 76 13 10
1449136105 77 13 10
1449137027 78 13 10
1449219545 79 13 10
1449235713 80 13 10
1449235768 80 14 10
1449306293 81 14 10
1449491155 82 14 10
1449493138 83 14 10
1449508468 84 14 10
1449575191 85 14 10
1449583851 86 14 10
1449591379 87 14 10
1449600429 88 14 10
1449650921 89 14 10
1449653593 90 14 10
1449658666 91 14 10
1449664647 92 14 10
1449672735 93 14 10
1449684148 94 14 10
1449684717 95 14 10
1449684735 95 15 10
1449755592 96 15 10
1449827927 97 15 10
1449828512 98 15 10
1449831078 99 15 10
1449957728 100 15 10
1449960877 101 15 10
1450004060 102 15 10
1450041042 103 15 10
1450079683 104 15 10
1450099795 105 15 10
1450178779 106 15 10
